VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,TiketID,Update12feb,StatusUpdate08jan26,DateOpen,Aging,Status,Updatetanggal,closedby,Note,CapSiteSimpul,CapIntermediateLink,OtherPelurusanDataBW
HUAWEI,1/5/2026,BJI049,Telkomsel Radio IP,BINJAI,17,104.90%,209.809.256,200.0,P2,Capacity transport issue,BJI04920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI111,Leased Radio IP,BINJAI,12,200.79%,200.791.264,100.0,P2,Capacity transport issue,BJI11120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI152,Telkomsel Radio IP,BINJAI,21,99.64%,19.928.984,200.0,P1,Capacity transport issue,BJI15220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI164,BTS Hotel,BINJAI,13,242.14%,24.214.328,100.0,P2,Capacity transport issue,BJI16420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI170,Metro-E,BINJAI,13,21.40%,214.037.224,1000.0,P2,need check quality transport,BJI17020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI178,Metro-E,BINJAI,13,35.97%,35.969.448,1000.0,P2,need check quality transport,BJI17820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI179,Metro-E,BINJAI,12,38.93%,389.335.928,1000.0,P2,need check quality transport,BJI17920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI191,Telkomsel Radio IP,BINJAI,15,97.42%,194.830.176,200.0,P2,Capacity transport issue,BJI19120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI192,Metro-E,BINJAI,14,32.27%,322.674.888,1000.0,P2,need check quality transport,BJI19220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI232,Metro-E,BINJAI,14,42.38%,423.841.536,1000.0,P2,need check quality transport,BJI23220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI274,Leased Radio IP,BINJAI,13,68.55%,205.653.616,300.0,P2,monitoring,BJI27420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI507,Metro-E,BINJAI,13,29.44%,294.424.224,1000.0,P2,need check quality transport,BJI50720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI514,Metro-E,BINJAI,12,28.31%,283.135.896,1000.0,P2,need check quality transport,BJI51420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI735,Metro-E,BINJAI,16,37.10%,370.998.488,1000.0,P2,need check quality transport,BJI73520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,BJI736,Metro-E,BINJAI,12,34.50%,345.028.768,1000.0,P2,need check quality transport,BJI73620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP002,Metro-E,MEDAN,17,45.10%,450.958.248,1000.0,P2,need check quality transport,LBP00220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP007,Metro-E,MEDAN,15,43.98%,439.821.784,1000.0,P2,need check quality transport,LBP00720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP016,Telkomsel Radio IP,MEDAN,17,100.74%,201.483.584,200.0,P2,Capacity transport issue,LBP01620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP017,Metro-E,MEDAN,13,33.77%,33.770.632,1000.0,P2,need check quality transport,LBP01720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP028,Telkomsel Radio IP,MEDAN,14,92.07%,184.145.456,200.0,P2,Capacity transport issue,LBP02820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP029,Metro-E,MEDAN,12,23.17%,231.684.552,1000.0,P2,need check quality transport,LBP02920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP030,Metro-E,MEDAN,13,59.55%,595.453.352,1000.0,P2,need check quality transport,LBP03020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP031,Leased Radio IP,MEDAN,23,101.15%,20.230.032,200.0,P1,Capacity transport issue,LBP03120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP032,Leased Radio IP,PEMATANG SIANTAR,19,104.90%,209.795.864,200.0,P1,Capacity transport issue,LBP03220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP035,Telkomsel Radio IP,PEMATANG SIANTAR,18,99.79%,199.583.472,200.0,P1,Capacity transport issue,LBP03520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP052,Metro-E,PEMATANG SIANTAR,13,4.11%,410.921.936,10000.0,P2,need check quality transport,LBP05220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP054,Metro-E,MEDAN,12,31.61%,316.072.904,1000.0,P2,need check quality transport,LBP05420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP056,Metro-E,MEDAN,15,41.00%,409.995.304,1000.0,P2,need check quality transport,LBP05620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP057,Telkomsel Radio IP,MEDAN,12,168.14%,336.280.008,200.0,P2,Capacity transport issue,LBP05720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP059,Metro-E,MEDAN,13,40.50%,404.984.672,1000.0,P2,need check quality transport,LBP05920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP069,Metro-E,MEDAN,15,44.82%,448.198.192,1000.0,P2,need check quality transport,LBP06920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP071,Telkomsel Radio IP,PEMATANG SIANTAR,19,52.72%,21.086.364,400.0,P1,need check quality transport,LBP07120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP075,Metro-E,PEMATANG SIANTAR,14,30.63%,306.271.712,1000.0,P2,need check quality transport,LBP07520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP076,Leased Radio IP,PEMATANG SIANTAR,14,134.94%,269.873.328,200.0,P2,Capacity transport issue,LBP07620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP085,Telkomsel Radio IP,PEMATANG SIANTAR,15,94.86%,37.945.928,400.0,P2,Capacity transport issue,LBP08520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP087,Metro-E,MEDAN,12,38.05%,380.543.768,1000.0,P2,need check quality transport,LBP08720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP092,Metro-E,MEDAN,16,37.39%,37.389.192,1000.0,P2,need check quality transport,LBP09220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP094,Metro-E,MEDAN,13,29.72%,29.717.304,1000.0,P2,need check quality transport,LBP09420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP108,Metro-E,MEDAN,16,35.99%,359.866.384,1000.0,P2,need check quality transport,LBP10820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP117,Leased Radio IP,PEMATANG SIANTAR,13,33.92%,203.548.728,600.0,P2,need check quality transport,LBP11720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP119,Metro-E,MEDAN,13,34.61%,346.097.952,1000.0,P2,need check quality transport,LBP11920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP124,Leased Radio IP,MEDAN,16,56.79%,34.075.984,600.0,P2,need check quality transport,LBP12420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP125,Metro-E,MEDAN,13,31.28%,312.805.288,1000.0,P2,need check quality transport,LBP12520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP130,Telkomsel Radio IP,MEDAN,19,97.90%,195.800.816,200.0,P1,Capacity transport issue,LBP13020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP131,Metro-E,MEDAN,13,48.72%,487.220.248,1000.0,P2,need check quality transport,LBP13120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP132,Metro-E,MEDAN,16,30.90%,30.898.928,1000.0,P2,need check quality transport,LBP13220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP136,Leased Radio IP,PEMATANG SIANTAR,14,40.10%,320.806.504,800.0,P2,need check quality transport,LBP13620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP142,Metro-E,MEDAN,12,40.80%,408.019.432,1000.0,P2,need check quality transport,LBP14220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP143,Metro-E,MEDAN,12,35.26%,352.602.824,1000.0,P2,need check quality transport,LBP14320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP146,Metro-E,MEDAN,15,34.85%,348.508.264,1000.0,P2,need check quality transport,LBP14620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP148,Metro-E,PEMATANG SIANTAR,13,25.93%,25.928.208,1000.0,P2,need check quality transport,LBP14820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP149,Metro-E,PEMATANG SIANTAR,13,20.85%,208.523.816,1000.0,P2,need check quality transport,LBP14920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP150,Telkomsel Radio IP,MEDAN,21,100.35%,200.696.856,200.0,P1,Capacity transport issue,LBP15020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP157,Telkomsel Radio IP,PEMATANG SIANTAR,21,80.46%,160.921.672,200.0,P1,Capacity transport issue,LBP15720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP166,Metro-E,MEDAN,12,30.04%,300.375.696,1000.0,P2,need check quality transport,LBP16620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP170,Metro-E,MEDAN,12,38.13%,381.345.688,1000.0,P2,need check quality transport,LBP17020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP173,Telkomsel Radio IP,MEDAN,19,104.89%,209.789.832,200.0,P1,Capacity transport issue,LBP17320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP178,Metro-E,PEMATANG SIANTAR,13,50.85%,508.483.328,1000.0,P2,need check quality transport,LBP17820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP182,Metro-E,MEDAN,15,30.85%,308.485.408,1000.0,P2,need check quality transport,LBP18220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP183,Leased Radio IP,MEDAN,19,52.96%,211.825.576,400.0,P1,need check quality transport,LBP18320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP186,Metro-E,PEMATANG SIANTAR,12,49.77%,497.696.312,1000.0,P2,need check quality transport,LBP18620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP189,Metro-E,MEDAN,13,31.72%,317.192.384,1000.0,P2,need check quality transport,LBP18920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP191,Metro-E,MEDAN,12,28.00%,28.003.684,1000.0,P2,need check quality transport,LBP19120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP196,Metro-E,MEDAN,13,40.62%,406.249.328,1000.0,P2,need check quality transport,LBP19620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP200,Leased Radio IP,PEMATANG SIANTAR,18,104.76%,209.511.584,200.0,P1,Capacity transport issue,LBP20020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP205,Telkomsel Radio IP,PEMATANG SIANTAR,17,47.31%,18.922.492,400.0,P2,need check quality transport,LBP20520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP208,Metro-E,MEDAN,14,42.64%,426.409.352,1000.0,P2,need check quality transport,LBP20820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP217,Telkomsel Radio IP,MEDAN,22,48.70%,194.797.496,400.0,P1,need check quality transport,LBP21720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP227,Metro-E,PEMATANG SIANTAR,12,47.11%,471.108.744,1000.0,P2,need check quality transport,LBP22720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP236,Metro-E,MEDAN,14,46.57%,465.662.632,1000.0,P2,need check quality transport,LBP23620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP244,Metro-E,MEDAN,12,41.22%,412.194.632,1000.0,P2,need check quality transport,LBP24420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP250,Metro-E,MEDAN,15,49.06%,490.643.416,1000.0,P2,need check quality transport,LBP25020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP262,Metro-E,MEDAN,14,34.53%,345.283.296,1000.0,P2,need check quality transport,LBP26220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP263,Telkomsel Radio IP,PEMATANG SIANTAR,14,84.15%,336.610.656,400.0,P2,Capacity transport issue,LBP26320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP264,Telkomsel Radio IP,PEMATANG SIANTAR,17,58.92%,353.545.712,600.0,P2,need check quality transport,LBP26420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP295,Leased Radio IP,PEMATANG SIANTAR,15,70.92%,42.552.292,600.0,P2,monitoring,LBP29520260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP313,Metro-E,MEDAN,13,28.44%,284.437.376,1000.0,P2,need check quality transport,LBP31320260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP322,BTS Hotel,MEDAN,12,282.95%,28.294.656,100.0,P2,Capacity transport issue,LBP32220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP330,Metro-E,MEDAN,16,36.82%,36.820.972,1000.0,P2,need check quality transport,LBP33020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP331,Metro-E,MEDAN,14,44.80%,447.969.336,1000.0,P2,need check quality transport,LBP33120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP332,Metro-E,MEDAN,14,34.70%,347.035.096,1000.0,P2,need check quality transport,LBP33220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP334,Metro-E,MEDAN,13,27.88%,2.787.582,1000.0,P2,need check quality transport,LBP33420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP342,Leased Radio IP,MEDAN,18,100.24%,20.047.236,200.0,P1,Capacity transport issue,LBP34220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP344,Leased Radio IP,MEDAN,16,97.43%,292.299.968,300.0,P2,Capacity transport issue,LBP34420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP349,Telkomsel Radio IP,MEDAN,19,96.30%,192.594.856,200.0,P1,Capacity transport issue,LBP34920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP369,Metro-E,MEDAN,12,37.50%,374.964.128,1000.0,P2,need check quality transport,LBP36920260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP371,Metro-E,MEDAN,16,33.11%,331.104.136,1000.0,P2,need check quality transport,LBP37120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP387,Metro-E,MEDAN,16,43.17%,431.683.512,1000.0,P2,need check quality transport,LBP38720260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP388,Metro-E,MEDAN,14,23.73%,237.287.728,1000.0,P2,need check quality transport,LBP38820260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP390,Metro-E,MEDAN,12,45.99%,459.938.712,1000.0,P2,need check quality transport,LBP39020260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP412,Metro-E,PEMATANG SIANTAR,12,24.68%,246.777.432,1000.0,P2,need check quality transport,LBP41220260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP416,Metro-E,MEDAN,13,36.54%,365.414.416,1000.0,P2,need check quality transport,LBP41620260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP421,Metro-E,PEMATANG SIANTAR,16,33.50%,334.980.704,1000.0,P2,need check quality transport,LBP42120260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
HUAWEI,1/5/2026,LBP424,Metro-E,MEDAN,12,35.57%,35.572.764,1000.0,P2,need check quality transport,LBP42420260105,20260107,NeedClose,20260105,3,Open,20260107,,,,,
