VENDOR,DATE,SITEID,Transport Type,NOP,Count of >0.9,Util FEGE %,Max Ethernet Port Daily,BW,Priority,Suspect,Prio,Aging,TrafMax,NeedClose,Status,TiketID
EID,1/5/2026,TKN706,Metro-E,ACEH,15,15.20%,1.520.155.939,1000.0,P2,Need check quality transport,P2,15,1.520.155.939,Need check quality transport,Open,TKN70620260105
EID,1/5/2026,TKN738,Telkomsel Radio IP,ACEH,12,63.43%,2.537.357.661,400.0,P2,Monitoring,P2,12,2.537.357.661,Monitoring,Open,TKN73820260105
EID,1/5/2026,TKN758,Leased Radio IP,ACEH,18,100.76%,2.015.140.326,200.0,P1,Capacity transport issue,P1,18,2.015.140.326,Capacity transport issue,Open,TKN75820260105
EID,1/5/2026,TRT239,Telkomsel Radio IP,PADANG SIDEMPUAN,19,13.36%,2.672.695.506,200.0,P1,Need check quality transport,P1,19,2.672.695.506,Need check quality transport,Open,TRT23920260105
EID,1/5/2026,TTN269,Leased Radio IP,ACEH,13,50.39%,2.015.674.439,400.0,P2,Need check quality transport,P2,13,2.015.674.439,Need check quality transport,Open,TTN26920260105
EID,1/5/2026,TUK070,Telkomsel Radio IP,PADANG SIDEMPUAN,15,46.32%,1.852.844.671,400.0,P2,Need check quality transport,P2,15,1.852.844.671,Need check quality transport,Open,TUK07020260105
EID,1/5/2026,TUK385,Leased Radio IP,PADANG SIDEMPUAN,17,97.41%,1.948.266.782,200.0,P2,Capacity transport issue,P2,17,1.948.266.782,Capacity transport issue,Open,TUK38520260105
EID,1/5/2026,TUK934,Telkomsel Radio IP,PADANG SIDEMPUAN,12,25.13%,2.010.629.769,800.0,P2,Need check quality transport,P2,12,2.010.629.769,Need check quality transport,Open,TUK93420260105
EID,1/5/2026,TUK937,Leased Radio IP,PADANG SIDEMPUAN,12,100.55%,2.010.996.617,200.0,P2,Capacity transport issue,P2,12,2.010.996.617,Capacity transport issue,Open,TUK93720260105
HUAWEI,1/5/2026,BJI049,Telkomsel Radio IP,BINJAI,17,104.90%,209.809.256,200.0,P2,Capacity transport issue,P2,17,209.809.256,Capacity transport issue,Open,BJI04920260105
HUAWEI,1/5/2026,BJI111,Leased Radio IP,BINJAI,12,200.79%,200.791.264,100.0,P2,Capacity transport issue,P2,12,200.791.264,Capacity transport issue,Open,BJI11120260105
HUAWEI,1/5/2026,BJI152,Telkomsel Radio IP,BINJAI,21,99.64%,19.928.984,200.0,P1,Capacity transport issue,P1,21,19.928.984,Capacity transport issue,Open,BJI15220260105
HUAWEI,1/5/2026,BJI164,BTS Hotel,BINJAI,13,242.14%,24.214.328,100.0,P2,Capacity transport issue,P2,13,24.214.328,Capacity transport issue,Open,BJI16420260105
HUAWEI,1/5/2026,BJI170,Metro-E,BINJAI,13,21.40%,214.037.224,1000.0,P2,need check quality transport,P2,13,214.037.224,need check quality transport,Open,BJI17020260105
HUAWEI,1/5/2026,BJI178,Metro-E,BINJAI,13,35.97%,35.969.448,1000.0,P2,need check quality transport,P2,13,35.969.448,need check quality transport,Open,BJI17820260105
HUAWEI,1/5/2026,BJI179,Metro-E,BINJAI,12,38.93%,389.335.928,1000.0,P2,need check quality transport,P2,12,389.335.928,need check quality transport,Open,BJI17920260105
HUAWEI,1/5/2026,BJI191,Telkomsel Radio IP,BINJAI,15,97.42%,194.830.176,200.0,P2,Capacity transport issue,P2,15,194.830.176,Capacity transport issue,Open,BJI19120260105
HUAWEI,1/5/2026,BJI192,Metro-E,BINJAI,14,32.27%,322.674.888,1000.0,P2,need check quality transport,P2,14,322.674.888,need check quality transport,Open,BJI19220260105
HUAWEI,1/5/2026,BJI232,Metro-E,BINJAI,14,42.38%,423.841.536,1000.0,P2,need check quality transport,P2,14,423.841.536,need check quality transport,Open,BJI23220260105
HUAWEI,1/5/2026,BJI274,Leased Radio IP,BINJAI,13,68.55%,205.653.616,300.0,P2,monitoring,P2,13,205.653.616,monitoring,Open,BJI27420260105
HUAWEI,1/5/2026,BJI507,Metro-E,BINJAI,13,29.44%,294.424.224,1000.0,P2,need check quality transport,P2,13,294.424.224,need check quality transport,Open,BJI50720260105
HUAWEI,1/5/2026,BJI514,Metro-E,BINJAI,12,28.31%,283.135.896,1000.0,P2,need check quality transport,P2,12,283.135.896,need check quality transport,Open,BJI51420260105
HUAWEI,1/5/2026,BJI735,Metro-E,BINJAI,16,37.10%,370.998.488,1000.0,P2,need check quality transport,P2,16,370.998.488,need check quality transport,Open,BJI73520260105
HUAWEI,1/5/2026,BJI736,Metro-E,BINJAI,12,34.50%,345.028.768,1000.0,P2,need check quality transport,P2,12,345.028.768,need check quality transport,Open,BJI73620260105
HUAWEI,1/5/2026,LBP002,Metro-E,MEDAN,17,45.10%,450.958.248,1000.0,P2,need check quality transport,P2,17,450.958.248,need check quality transport,Open,LBP00220260105
HUAWEI,1/5/2026,LBP007,Metro-E,MEDAN,15,43.98%,439.821.784,1000.0,P2,need check quality transport,P2,15,439.821.784,need check quality transport,Open,LBP00720260105
